subject,training_status
NYU-20,trained 1a
NYU-20,trained 1b
NYU-20,ready4ephysrig
NYU-20,ready4delay
SWC_001,in training
SWC_001,
SWC_001,untrainable
SWC_001,trained 1b
SWC_013,in training
SWC_013,
SWC_013,trained 1a
SWC_013,trained 1b
SWC_013,ready4ephysrig
SWC_013,ready4delay
SWC_014,in training
SWC_014,
SWC_014,trained 1a
SWC_014,trained 1b
SWC_014,ready4ephysrig
SWC_014,ready4delay
SWC_014,ready4recording
SWC_015,in training
SWC_015,
SWC_015,trained 1a
SWC_015,trained 1b
SWC_015,ready4ephysrig
SWC_015,ready4delay
SWC_017,in training
SWC_017,
SWC_017,untrainable
SWC_017,trained 1a
SWC_017,trained 1b
SWC_017,ready4ephysrig
SWC_017,ready4delay
SWC_018,in training
SWC_018,
SWC_018,trained 1a
SWC_018,trained 1b
SWC_018,ready4ephysrig
SWC_018,ready4delay
SWC_021,in training
SWC_021,
SWC_021,trained 1b
SWC_021,ready4ephysrig
SWC_021,ready4delay
SWC_022,in training
SWC_022,
SWC_022,trained 1a
SWC_022,trained 1b
SWC_022,ready4ephysrig
SWC_023,in training
SWC_023,
SWC_023,trained 1a
SWC_023,trained 1b
SWC_023,ready4ephysrig
SWC_023,ready4delay
SWC_029,in training
SWC_029,
SWC_029,untrainable
SWC_029,trained 1a
SWC_029,trained 1b
SWC_029,ready4ephysrig
SWC_029,ready4delay
SWC_030,in training
SWC_030,
SWC_030,untrainable
SWC_030,trained 1a
SWC_030,trained 1b
SWC_030,ready4ephysrig
SWC_030,ready4delay
SWC_038,in training
SWC_038,
SWC_038,trained 1a
SWC_038,trained 1b
SWC_038,ready4ephysrig
SWC_038,ready4delay
SWC_039,in training
SWC_039,
SWC_039,trained 1a
SWC_039,trained 1b
SWC_039,ready4delay
SWC_042,in training
SWC_042,
SWC_042,trained 1a
SWC_042,trained 1b
SWC_042,ready4ephysrig
SWC_042,ready4delay
ZM_1084,trained 1a
ZM_1084,
ZM_1084,ready4ephysrig
ZM_1084,trained 1b
ZM_1085,in training
ZM_1085,
ZM_1085,trained 1a
ZM_1085,trained 1b
ZM_1085,ready4ephysrig
ZM_1086,in training
ZM_1086,
ZM_1086,trained 1a
ZM_1086,trained 1b
ZM_1087,in training
ZM_1087,
ZM_1087,trained 1a
ZM_1087,trained 1b
ZM_1087,ready4ephysrig
ZM_1089,in training
ZM_1089,
ZM_1089,trained 1a
ZM_1089,trained 1b
ZM_1091,in training
ZM_1091,
ZM_1091,trained 1b
ZM_1091,ready4ephysrig
ZM_1092,in training
ZM_1092,
ZM_1092,trained 1b
ZM_1092,ready4ephysrig
ZM_1093,in training
ZM_1093,
ZM_1093,trained 1a
ZM_1093,trained 1b
ZM_1095,in training
ZM_1095,
ZM_1095,trained 1b
ZM_1097,in training
ZM_1097,
ZM_1097,trained 1a
ZM_1097,trained 1b
ZM_1097,ready4ephysrig
ZM_1098,in training
ZM_1098,
ZM_1098,trained 1a
ZM_1098,trained 1b
ZM_1098,ready4ephysrig
ZM_1367,in training
ZM_1367,
ZM_1367,trained 1a
ZM_1367,trained 1b
ZM_1367,ready4delay
ZM_1369,in training
ZM_1369,
ZM_1369,trained 1a
ZM_1369,trained 1b
ZM_1369,ready4ephysrig
ZM_1371,in training
ZM_1371,
ZM_1371,trained 1a
ZM_1371,trained 1b
ZM_1371,ready4ephysrig
ZM_1372,in training
ZM_1372,
ZM_1372,trained 1a
ZM_1372,trained 1b
ZM_1372,ready4ephysrig
ZM_1373,in training
ZM_1373,
ZM_1373,trained 1a
ZM_1743,in training
ZM_1743,
ZM_1743,trained 1a
ZM_1743,trained 1b
ZM_1743,ready4ephysrig
ZM_1743,ready4delay
ZM_1745,in training
ZM_1745,
ZM_1745,trained 1a
ZM_1745,trained 1b
ZM_1745,ready4ephysrig
ZM_1745,ready4delay
ZM_1745,ready4recording
ZM_1746,in training
ZM_1746,
ZM_1746,trained 1a
ZM_1746,trained 1b
ZM_1746,ready4ephysrig
ZM_1746,ready4delay
ZM_1897,in training
ZM_1897,
ZM_1897,trained 1a
ZM_1897,trained 1b
ZM_1897,ready4ephysrig
ZM_1897,ready4delay
ZM_1897,ready4recording
ZM_1898,in training
ZM_1898,
ZM_1898,trained 1a
ZM_1898,trained 1b
ZM_1898,ready4ephysrig
ZM_1898,ready4delay
ZM_1898,ready4recording
ZM_1928,in training
ZM_1928,
ZM_1928,trained 1a
ZM_2106,in training
ZM_2106,
ZM_2106,trained 1a
ZM_2107,in training
ZM_2107,
ZM_2107,trained 1a
ZM_2107,trained 1b
ZM_2107,ready4ephysrig
ZM_2107,ready4delay
ZM_2107,ready4recording
ZM_2240,in training
ZM_2240,
ZM_2240,trained 1a
ZM_2240,trained 1b
ZM_2240,ready4ephysrig
ZM_2240,ready4delay
ZM_2240,ready4recording
ZM_2241,in training
ZM_2241,
ZM_2241,trained 1b
ZM_2241,ready4ephysrig
ZM_2241,ready4delay
ZM_2241,ready4recording
ZM_2245,in training
ZM_2245,
ZM_2245,trained 1b
ZM_2245,ready4ephysrig
ZM_2245,ready4delay
ZM_2245,ready4recording
ZM_3001,in training
ZM_3001,
ZM_3001,trained 1a
ZM_3001,trained 1b
ZM_3001,ready4ephysrig
ZM_3001,ready4delay
ZM_3002,in training
ZM_3002,
ZM_3002,trained 1a
ZM_3002,trained 1b
ZM_3003,in training
ZM_3003,
ZM_3003,trained 1a
ZM_3003,trained 1b
ZM_3003,ready4delay
ZM_3003,ready4recording
ZM_3004,in training
ZM_3004,
ZM_3004,trained 1a
ZM_3004,trained 1b
ZM_3004,ready4ephysrig
ZM_3004,ready4delay
ZM_3006,in training
ZM_3006,
ZM_3006,trained 1a
ibl_witten_02,in training
ibl_witten_02,
ibl_witten_02,trained 1a
ibl_witten_03,in training
ibl_witten_03,
ibl_witten_03,trained 1a
ibl_witten_03,trained 1b
ibl_witten_04,in training
ibl_witten_04,
ibl_witten_04,trained 1a
ibl_witten_04,trained 1b
ibl_witten_04,ready4ephysrig
ibl_witten_04,ready4delay
ibl_witten_05,in training
ibl_witten_05,
ibl_witten_05,trained 1b
ibl_witten_05,unbiasable
ibl_witten_06,in training
ibl_witten_06,
ibl_witten_06,trained 1a
ibl_witten_06,trained 1b
ibl_witten_06,ready4ephysrig
ibl_witten_07,in training
ibl_witten_07,
ibl_witten_07,untrainable
ibl_witten_07,trained 1a
ibl_witten_07,trained 1b
ibl_witten_07,ready4ephysrig
ibl_witten_07,ready4delay
ibl_witten_12,in training
ibl_witten_12,
ibl_witten_12,trained 1a
ibl_witten_12,trained 1b
ibl_witten_12,ready4ephysrig
ibl_witten_12,ready4delay
ibl_witten_12,ready4recording
ibl_witten_13,in training
ibl_witten_13,
ibl_witten_13,trained 1a
ibl_witten_13,trained 1b
ibl_witten_13,ready4ephysrig
ibl_witten_13,ready4delay
ibl_witten_14,in training
ibl_witten_14,
ibl_witten_14,trained 1a
ibl_witten_14,trained 1b
ibl_witten_14,ready4ephysrig
ibl_witten_14,ready4delay
ibl_witten_15,in training
ibl_witten_15,
ibl_witten_15,trained 1b
ibl_witten_15,ready4ephysrig
ibl_witten_16,in training
ibl_witten_16,
ibl_witten_16,trained 1a
ibl_witten_16,trained 1b
ibl_witten_16,ready4ephysrig
ibl_witten_17,in training
ibl_witten_17,
ibl_witten_17,trained 1a
ibl_witten_17,trained 1b
ibl_witten_17,ready4ephysrig
ibl_witten_17,ready4delay
ibl_witten_17,ready4recording
ibl_witten_19,in training
ibl_witten_19,
ibl_witten_19,trained 1a
ibl_witten_19,trained 1b
ibl_witten_19,ready4ephysrig
ibl_witten_19,ready4delay
ibl_witten_19,ready4recording
ibl_witten_20,in training
ibl_witten_20,
ibl_witten_20,trained 1a
ibl_witten_20,trained 1b
ibl_witten_20,ready4ephysrig
ibl_witten_20,ready4delay
ibl_witten_20,ready4recording
